Name,MuseType,Province,Description,Latitude,Longitude,OpenHours,ImageURL
MOCA Bangkok,Art Museum,Bangkok,พิพิธภัณฑ์ศิลปะไทยร่วมสมัยที่แสดงงานศิลป์สมัยใหม่ทั้งของไทยและต่างประเทศ,13.8476,100.5615,10:00–18:00 (ปิดวันจันทร์),
BACC (Bangkok Art and Culture Centre),Art Museum,Bangkok,หอศิลปวัฒนธรรมกลางกรุงที่มีนิทรรศการหมุนเวียนและกิจกรรมศิลป์,13.7466,100.5308,10:00–20:00,
National Gallery,Art Museum,Bangkok,พิพิธภัณฑสถานแห่งชาติด้านศิลปะตั้งอยู่ใกล้ถนนเจ้าฟ้า,13.7614,100.4945,09:00–16:00 (ปิดวันจันทร์–อังคาร),
MAIIAM Contemporary Art Museum,Art Museum,Chiang Mai,พิพิธภัณฑ์ศิลปะร่วมสมัยเอกชนขนาดใหญ่ที่สุดของไทย,18.7689,99.1169,10:00–18:00 (ปิดวันอังคาร),
Chiang Mai Art Museum,Art Museum,Chiang Mai,พิพิธภัณฑ์ศิลป์ของมหาวิทยาลัยเชียงใหม่,18.7961,98.9629,09:00–17:00 (ปิดเสาร์–อาทิตย์),
Baan Dam Museum,Art Museum,Chiang Rai,บ้านศิลป์สีดำของศิลปินถวัลย์ ดัชนี,19.9673,99.8325,09:00–17:00,
Art in Paradise (Pattaya),Art Museum,Chonburi,พิพิธภัณฑ์ภาพ 3 มิติอินเทอร์แอคทีฟ,12.9495,100.8870,09:00–20:30,
Silpa Bhirasri National Museum,Art Museum,Bangkok,พิพิธภัณฑ์ที่อุทิศให้กับผู้ก่อตั้งมหาวิทยาลัยศิลปากร,13.7517,100.4878,09:00–16:00,
Ratchadamnoen Contemporary Art Center,Art Museum,Bangkok,แกลเลอรี่ศิลปะร่วมสมัยบนถนนราชดำเนินกลาง,13.7555,100.5020,10:00–19:00,
Tadu Contemporary Art,Art Museum,Bangkok,แกลเลอรี่ศิลปะร่วมสมัยในกรุงเทพฯ,13.7471,100.5345,10:00–19:00,
SAC Gallery,Art Museum,Bangkok,แกลเลอรี่ศิลปะร่วมสมัยในกรุงเทพฯ,13.7631,100.5458,10:00–18:00 (ปิดวันจันทร์),
Bangkok CityCity Gallery,Art Museum,Bangkok,แกลเลอรี่ศิลปะร่วมสมัยในกรุงเทพฯ,13.7281,100.5366,13:00–18:00 (ปิดวันจันทร์–อังคาร),
La Lanta Fine Art,Art Museum,Bangkok,แกลเลอรี่ศิลปะร่วมสมัยในกรุงเทพฯ,13.7146,100.5839,10:00–18:00 (ปิดวันอาทิตย์),
Nova Contemporary,Art Museum,Bangkok,แกลเลอรี่ศิลปะร่วมสมัยในกรุงเทพฯ,13.7387,100.5414,11:00–19:00 (ปิดวันจันทร์),
Over The Influence,Art Museum,Bangkok,แกลเลอรี่ศิลปะร่วมสมัยในกรุงเทพฯ,13.7290,100.5418,11:00–19:00 (ปิดวันอาทิตย์–จันทร์),
Richard Koh Gallery,Art Museum,Bangkok,แกลเลอรี่ศิลปะร่วมสมัยในกรุงเทพฯ,13.7303,100.5437,10:00–18:00 (ปิดวันอาทิตย์),
West Eden Gallery,Art Museum,Bangkok,แกลเลอรี่ศิลปะร่วมสมัยในกรุงเทพฯ,13.7236,100.5339,11:00–18:00 (ปิดวันจันทร์),
Sombat Permpoon Gallery,Art Museum,Bangkok,แกลเลอรี่ศิลปะร่วมสมัยในกรุงเทพฯ,13.7483,100.5491,10:00–18:00,
H Gallery,Art Museum,Bangkok,แกลเลอรี่ศิลปะร่วมสมัยในกรุงเทพฯ,13.7283,100.5249,10:00–18:00 (ปิดวันจันทร์),
Bangkok University Gallery (BUG),Art Museum,Bangkok,แกลเลอรี่ศิลปะร่วมสมัยของมหาวิทยาลัยกรุงเทพ,13.7231,100.5371,10:00–16:00 (ปิดวันเสาร์–อาทิตย์),

Museum Siam,Cultural Museum,Bangkok,พิพิธภัณฑ์แนวใหม่เน้นการเรียนรู้เกี่ยวกับความเป็นไทย,13.7422,100.4925,10:00–18:00 (ปิดวันจันทร์),
Jim Thompson House Museum,Cultural Museum,Bangkok,บ้านไทยของนักธุรกิจผ้าไหมที่จัดแสดงงานศิลป์เอเชีย,13.7504,100.5285,10:00–18:00,
Ban Chiang National Museum,Cultural Museum,Udon Thani,พิพิธภัณฑ์ที่แสดงหลักฐานโบราณคดีบ้านเชียง,17.4220,103.2410,09:00–16:00 (ปิดวันจันทร์–อังคาร),
Arts of the Kingdom Museum,Cultural Museum,Ayutthaya,จัดแสดงศิลปะชั้นสูงของราชสำนักไทย เช่น เครื่องถมทอง,14.2297,100.5778,10:00–15:30 (ปิดวันจันทร์–อังคาร),
